,"Frequency, Hz","PSD, V_rms/sqrt(Hz)"
212,53250.0,1.15157e-07
213,53500.0,2.10059e-07
214,53750.0,2.63883e-07
215,54000.0,1.04675e-07
216,54250.0,1.49949e-07
217,54500.0,1.30608e-07
218,54750.0,2.32351e-07
219,55000.0,3.37383e-07
220,55250.0,1.77357e-07
221,55500.0,9.43764e-08
222,55750.0,8.28744e-08
223,56000.0,1.81855e-07
224,56250.0,2.52012e-07
225,56500.0,1.70529e-07
226,56750.0,2.34881e-07
227,57000.0,1.66649e-07
228,57250.0,1.05671e-07
229,57500.0,2.65136e-07
230,57750.0,8.31554e-08
231,58000.0,3.19167e-07
232,58250.0,5.65875e-07
233,58500.0,3.74959e-07
234,58750.0,2.5963e-07
235,59000.0,1.85963e-07
236,59250.0,1.91974e-07
237,59500.0,6.02502e-08
238,59750.0,2.35199e-07
239,60000.0,2.765e-07
240,60250.0,2.76126e-07
241,60500.0,2.31565e-07
242,60750.0,6.44261e-08
243,61000.0,6.02502e-08
244,61250.0,2.09208e-07
245,61500.0,2.39213e-07
246,61750.0,8.66608e-08
247,62000.0,1.42912e-07
248,62250.0,2.40838e-07
249,62500.0,3.25935e-07
250,62750.0,1.23473e-07
251,63000.0,2.35677e-07
252,63250.0,2.66576e-07
253,63500.0,1.58829e-07
254,63750.0,2.39213e-07
255,64000.0,6.02502e-08
256,64250.0,1.00033e-07
257,64500.0,6.02502e-08
258,64750.0,1.02432e-07
259,65000.0,2.52353e-07
260,65250.0,6.02502e-08
261,65500.0,1.7509e-07
262,65750.0,1.14458e-07
263,66000.0,6.02502e-08
264,66250.0,2.59806e-07
265,66500.0,1.34012e-07
266,66750.0,2.25685e-07
267,67000.0,1.51787e-07
268,67250.0,8.05515e-08
269,67500.0,1.75328e-07
270,67750.0,6.9125e-08
271,68000.0,2.00474e-07
272,68250.0,8.49187e-08
273,68500.0,6.02502e-08
274,68750.0,7.19415e-08
275,69000.0,2.98277e-07
276,69250.0,1.33468e-07
277,69500.0,1.2781e-07
278,69750.0,6.39915e-08
279,70000.0,1.46636e-07
280,70250.0,6.02502e-08
281,70500.0,1.35471e-07
282,70750.0,8.59597e-08
283,71000.0,1.66649e-07
284,71250.0,3.8007e-07
285,71500.0,1.06101e-07
286,71750.0,2.29226e-07
287,72000.0,1.36853e-07
288,72250.0,8.10986e-08
289,72500.0,1.03617e-07
290,72750.0,1.14691e-07
291,73000.0,1.20582e-07
292,73250.0,2.31722e-07
293,73500.0,1.74617e-07
294,73750.0,1.16648e-07
295,74000.0,6.02502e-08
296,74250.0,2.37599e-07
297,74500.0,2.36957e-07
298,74750.0,9.41212e-08
299,75000.0,1.85334e-07
300,75250.0,1.1888e-07
301,75500.0,1.70875e-07
